PIP region,year,"Prosperity Gap, z=28/day","Prosperity Gap regional contribution to global, z=28/day","Inequality, z=ybar","Mean, $/day 2021 PPPs"
ECS,2002,3.263065322127934,.4477410018444061,3.644989728927612,31.27724997751104
AFW,2002,14.54118397681986,.6683754324913025,1.911173105239868,3.680088683178218
EAS,2002,8.757343075951113,2.887224912643433,2.925657749176025,9.354254590638307
WLD,2002,8.296947755595916,8.296947479248047,4.239287376403809,14.30647086345903
AFE,2002,18.03958436783561,1.219696760177612,2.541758298873901,3.945170358047817
SSF,2002,16.62378551839804,1.88807213306427,2.278581857681274,3.837892091314489
SAS,2002,9.462886962309817,1.918110489845276,1.281571507453918,3.792077677973179
SSF,2003,16.17517152215349,1.863159894943237,2.238150358200073,3.874345807414521
SAS,2003,9.405653013532625,1.913996934890747,1.284445285797119,3.823707888145977
ECS,2003,3.251907789119881,.4416523575782776,3.724305391311646,32.06749871347746
LCN,2003,6.585357189247152,.5564826726913452,3.344805479049683,14.22163580687005
WLD,2003,8.040536706754931,8.040536880493164,4.179786682128906,14.55549941756353
MEA,2003,6.397406939881743,.5293176770210266,2.274763345718384,9.956123049826125
AFW,2003,14.02967188330558,.6547642946243286,1.858827829360962,3.709793056134976
EAS,2003,8.161534087975905,2.677446365356445,2.823738098144531,9.687475899416537
NAC,2003,1.164797828370657,.0584807209670544,3.125667810440063,75.13638662307022
AFE,2003,17.63657841180532,1.208395600318909,2.510964393615723,3.986430899426108
WLD,2004,7.715075446251775,7.715075492858887,4.115102291107178,14.93476803004593
ECS,2004,3.007367478735642,.4043945372104645,3.573842287063599,33.27414505162393
LCN,2004,6.219830387679515,.525399923324585,3.226353883743286,14.52417603293407
SSF,2004,15.49131587138065,1.81009578704834,2.244637727737427,4.057102497805977
AFW,2004,13.43024445833369,.6365270018577576,1.830206990242004,3.81570077998046
MEA,2004,6.059272034143874,.5068266987800598,2.443580150604248,11.29182527082773
SAS,2004,9.330716077445103,1.905514717102051,1.286594986915588,3.860867505168306
NAC,2004,1.214207346242977,.0607418157160282,3.230760335922241,74.50234276459933
AFE,2004,16.89784495096706,1.173568844795227,2.547857761383057,4.221841348597057
EAS,2004,7.667534351600998,2.502101898193359,2.768839836120605,10.11114057805222
AFE,2005,16.33821687407349,1.150551915168762,2.58320140838623,4.427021744420434
ECS,2005,2.913722619321605,.3879580199718475,3.524868726730347,33.87293095262292
AFW,2005,13.05571226941803,.6285565495491028,1.810190916061401,3.882235091257642
MEA,2005,5.919839316589638,.5007230043411255,2.435858488082886,11.52126557735331
NAC,2005,1.19167506750842,.059407964348793,3.239534139633179,76.11718896074315
LCN,2005,6.030393438783396,.5090750455856323,3.293811798095703,15.29365052208731
SAS,2005,9.164544761017742,1.877113461494446,1.287555694580078,3.933807886264509
EAS,2005,7.110949582603324,2.308273792266846,2.697692632675171,10.62240557284424
WLD,2005,7.421659419215014,7.421659469604492,4.061465740203857,15.32285889341345
SSF,2005,15.00533290514457,1.77910840511322,2.253912210464478,4.205807310948727
AFE,2006,15.50619150119101,1.107337236404419,2.590753555297852,4.678202141261479
WLD,2006,7.176714116984489,7.176713943481445,4.035802364349365,15.74571115413722
EAS,2006,6.977302435729543,2.253161907196045,2.743385076522827,11.00923826172752
AFW,2006,12.63119004192706,.6176467537879944,1.784988641738892,3.956846716841069
SSF,2006,14.33769300134757,1.724984049797058,2.245394706726074,4.385018731363322
MEA,2006,5.764006999245356,.4932297468185425,2.452911615371704,11.91558680951649
ECS,2006,2.739598593971228,.3612362146377563,3.400120496749878,34.75084747672901
LCN,2006,5.378370803317686,.4536517858505249,3.142725229263306,16.36114488251222
NAC,2006,1.203590965424982,.0598208345472813,3.331458330154419,77.50210671459283
SAS,2006,8.91754154915513,1.830629348754883,1.286372423171997,4.039053423596012
LCN,2007,4.950417226121834,.4171622097492218,3.015402317047119,17.05538358308375
AFE,2007,14.80055512685918,1.072173953056335,2.510218381881714,4.74888351932897
AFW,2007,12.28373926981846,.6101067066192627,1.758483052253723,4.008349958487195
ECS,2007,2.538898351291132,.3315146267414093,3.372015714645386,37.18795490764261
NAC,2007,1.186992518442185,.0588143616914749,3.276172399520874,77.28172475069618
