country/economy code,year,"reporting data level: rural, urban, or national coverage",income or consumption used in survey,"Prosperity Gap, z=28/day","Inequality, z=ybar","Mean, $/day 2021 PPPs"
ARM,2015,national,consumption,3.92801042364345,1.384833455085754,9.871495153213001
ARM,2016,national,consumption,3.778563825197728,1.402408123016357,10.392156820555
ARM,2017,national,consumption,3.856619159719018,1.392632246017456,10.110850974985
ARM,2018,national,consumption,3.937541612320816,1.421500444412231,10.108340425185
ARM,2019,national,consumption,4.058038005417999,1.31708288192749,9.087721708675
ARM,2020,national,consumption,3.971914796323488,1.218495488166809,8.589779973334
ARM,2021,national,consumption,3.986770433676355,1.273140788078308,8.941558378416
ARM,2022,national,consumption,4.033831269068731,1.277099132537842,8.864717634701
ARM,2023,national,consumption,3.988693455173574,1.260498762130737,8.848503041633
AUS,1981,national,income,1.323352548825181,1.971529722213745,41.714381638434
AUS,1985,national,income,1.388917873517111,2.138110637664795,43.103412771498
AUS,1989,national,income,1.279052243332741,2.023581743240356,44.298649289365
AUS,1995,national,income,1.539601638651447,2.242926359176636,40.791029659062
AUS,2001,national,income,1.423965656510753,2.390034914016724,46.996199929082
AUS,2003,national,income,1.49273266751138,2.583821058273315,48.466140135834
AUS,2004,national,income,1.159855587796837,2.185050249099731,52.749161652118
AUS,2008,national,income,.9387957478773123,2.236144542694092,66.69400262994399
AUS,2010,national,income,.9153617303352137,2.172478914260864,66.453958052202
AUS,2014,national,income,.8889965861444933,2.255564451217651,71.04167371177
AUS,2016,national,income,.877269179226275,2.174403429031372,69.400929557533
AUS,2018,national,income,.9250261769516545,2.322459936141968,70.299496994373
AUT,1994,national,income,.6609184256849633,1.482200264930725,62.793843116719
AUT,1995,national,income,.6459305493218152,1.417775750160217,61.458188180154
AUT,1996,national,income,.6492945884063027,1.367357730865479,58.96555756068
AUT,1997,national,income,.6684912230040744,1.40637731552124,58.906631684949
AUT,1998,national,income,.6732467071320102,1.485183000564575,61.768031325149
AUT,1999,national,income,.6206634244161759,1.409904837608337,63.605060232624
AUT,2000,national,income,.6285708292150923,1.387699246406555,61.815754241409
AUT,2003,national,income,.8002287465457921,1.875053882598877,65.608127640031
AUT,2004,national,income,.6187162266808643,1.529927492141724,69.23686270441701
AUT,2005,national,income,.6563451890531296,1.551139831542969,66.17236709846
AUT,2006,national,income,.5925348709410583,1.433588862419128,67.74367275536
AUT,2007,national,income,.8161250756092495,2.056520700454712,70.556072278768
AUT,2008,national,income,.7306896131217535,1.872024655342102,71.73591989607
AUT,2009,national,income,.9610044651464815,2.549638748168945,74.28673726467601
AUT,2010,national,income,.8107467457438907,2.172725200653076,75.03737019812
AUT,2011,national,income,.8245426392751301,2.168260335922241,73.630260111989
AUT,2012,national,income,.9535148892262038,2.450093507766724,71.94708486850401
AUT,2013,national,income,.6952410194194236,1.873968958854675,75.471858921231
AUT,2014,national,income,.6625537806032932,1.7583327293396,74.30840748915401
AUT,2015,national,income,1.085561173925974,2.870181798934937,74.030920433397
AUT,2016,national,income,1.034348827014357,2.858656406402588,77.384319311311
AUT,2017,national,income,.7275319689718406,1.983781337738037,76.34836663815901
AUT,2018,national,income,.9542215098527478,2.629174709320068,77.148639707553
AUT,2019,national,income,.9040950246341112,2.541011333465576,78.69561593340499
AUT,2020,national,income,1.050403375311848,2.959883451461792,78.899915336934
AUT,2021,national,income,.8774696686921089,2.467999458312988,78.75369899501899
AUT,2022,national,income,.6075141654000773,1.78840708732605,82.42671819028099
AZE,1995,national,consumption,7.105008116214719,1.557480216026306,6.137846158126
AZE,2001,national,consumption,5.544971986566217,1.483954191207886,7.493404299686
AZE,2002,national,consumption,3.568582275989317,1.205323219299316,9.457271410725999
AZE,2003,national,consumption,3.511682559859861,1.235704302787781,9.852747253993
AZE,2004,national,consumption,3.37821299616812,1.223315715789795,10.139337360526
AZE,2005,national,consumption,3.03230026709063,1.220999479293823,11.274604137995
BDI,1992,national,consumption,19.31335849471988,1.390512228012085,2.015928139458
BDI,1998,national,consumption,27.19342292015041,1.798936486244202,1.852294268762
BDI,2006,national,consumption,16.91419040017014,1.357027888298035,2.246444056831
BDI,2013,national,consumption,17.07646169609309,1.561321377754211,2.560073515275
BDI,2020,national,consumption,16.37579386523829,1.53062641620636,2.617127478681
BEL,1985,national,income,1.013873794159518,1.435555100440979,39.645508888696
BEL,1988,national,income,1.316802445645862,1.960620164871216,41.689902909776
BEL,1992,national,income,1.486933223695306,2.382348537445068,44.861301918904
BEL,1995,national,income,1.04249267844624,2.001541137695313,53.758795155086
BEL,1997,national,income,.95318943046857,1.799492597579956,52.860210834251
BEL,2000,national,income,.9339553354050012,2.115731477737427,63.429675068732
BEL,2003,national,income,.8046511057001183,1.633922338485718,56.856723408531
BEL,2004,national,income,.6454341666960276,1.414217710494995,61.351097540573
BEL,2005,national,income,.7392112433886312,1.617844104766846,61.281043102162
BEL,2006,national,income,.7195577390649671,1.54816460609436,60.243407845302
BEL,2007,national,income,.6816907953075595,1.509312987327576,61.994034204514
BEL,2008,national,income,.6554579812072056,1.470698595046997,62.825631627486
BEL,2009,national,income,.646948930125509,1.466643929481506,63.476461454597
BEL,2010,national,income,.6902375571176966,1.553232431411743,63.00802949075
BEL,2011,national,income,.6859625763683812,1.506000399589539,61.472759875116
BEL,2012,national,income,.7109696548861597,1.605256319046021,63.219544214366
BEL,2013,national,income,.7120143491184825,1.604268908500671,63.087954401588
BEL,2014,national,income,.6245743869128972,1.424130082130432,63.844506519155
BEL,2015,national,income,.6170270872714986,1.423573136329651,64.600156299042
BEL,2016,national,income,.6358518711406554,1.451147437095642,63.901875959863
BEL,2017,national,income,.6598764863609243,1.522631406784058,64.608577268259
BEL,2018,national,income,.6073285225968189,1.434240818023682,66.12359142941401
BEL,2019,national,income,.5886936614791752,1.438486218452454,68.418629339359
BEL,2020,national,income,.5453225642388229,1.32711386680603,68.14166597737599
BEL,2021,national,income,.5352209246609358,1.354074001312256,70.838175178675
BEL,2022,national,income,.5339725261001048,1.304250836372375,68.39120112056
BEN,2003,national,consumption,14.99871221252635,1.550835967063904,2.895142269667
BEN,2011,national,consumption,15.38388695104313,1.727642774581909,3.144458658033
BEN,2015,national,consumption,21.50545110618601,2.424146890640259,3.156228300571
BEN,2018,national,consumption,8.784156713966807,1.534003853797913,4.889724541559
BEN,2021,national,consumption,7.677359538988205,1.444121599197388,5.266837511912
BFA,1994,national,consumption,30.46798273664939,1.877686738967896,1.725589466892
BFA,1998,national,consumption,26.52745358257688,1.975492000579834,2.085152088522
BFA,2003,national,consumption,16.35185151802269,1.772277116775513,3.034748735544
BFA,2009,national,consumption,14.57699319478792,1.596959471702576,3.067495764776
BFA,2014,national,consumption,11.16187374292975,1.412683486938477,3.54377207572
BFA,2018,national,consumption,10.16525791635434,1.681536316871643,4.631758202829
BFA,2021,national,consumption,9.41446280342965,1.503656387329102,4.472095852488
BGD,1983,national,consumption,9.994564885492249,1.233114838600159,3.454599223698
BGD,1985,national,consumption,9.065553655572128,1.234706282615662,3.813531544899
BGD,1988,national,consumption,10.18485375022598,1.273735284805298,3.501728198152
BGD,1991,national,consumption,10.31152894222749,1.260746717453003,3.423440760237
BGD,1995,national,consumption,9.165298452033477,1.360483646392822,4.156279550776
BGD,2000,national,consumption,8.950449489109436,1.371992349624634,4.29205094892
BGD,2005,national,consumption,7.962667766732402,1.362407326698303,4.790782031515
BGD,2010,national,consumption,7.335757512879842,1.343437552452087,5.12779375429
BGD,2016,national,consumption,6.760531143399986,1.356920957565308,5.619941051066
BGD,2022,national,consumption,5.180379215257757,1.389496445655823,7.510242042438
BGR,1989,national,consumption,1.195287181195845,1.185917258262634,27.780506293205
BGR,1992,national,income,1.589253549026821,1.340605854988098,23.619240879314
BGR,1994,national,consumption,2.100266934360409,1.202929735183716,16.037024118456
BGR,1995,national,consumption,2.761872745781674,1.464781165122986,14.850022442746
BGR,1997,national,consumption,4.110752122836288,1.225447773933411,8.347021816839
BGR,2001,national,consumption,3.548413563307351,1.493665337562561,11.786289417743
BGR,2003,national,consumption,3.371935684334083,1.329410076141357,11.039202772225
BGR,2006,national,income,5.068126116822681,2.226314067840576,12.29977159812
BGR,2007,national,consumption,2.568377021618382,1.348694562911987,14.703233808497
BGR,2007,national,income,2.816427206424289,1.750945806503296,17.407331135929
BGR,2008,national,income,2.391003750505808,1.634404182434082,19.139792655919
BGR,2009,national,income,2.240257335753697,1.597992539405823,19.972612802858
BGR,2010,national,income,2.542158309748263,1.736475706100464,19.125999923264
BGR,2011,national,income,2.890506338256543,1.829481363296509,17.721973539752
BGR,2012,national,income,2.802397717653458,1.864641070365906,18.630456809773
BGR,2013,national,income,2.631901672876464,1.955483555793762,20.803794128731
BGR,2014,national,income,2.458103074352028,1.946627616882324,22.17383559327
BGR,2015,national,income,3.019812067746731,2.282477140426636,21.163356598862
BGR,2016,national,income,2.340510895898177,2.113988637924194,25.290069069443
BGR,2017,national,income,2.118446447288688,1.904052019119263,25.166298822923
